10	124977.449988	3340.299090
3310	-nan(ind)	-nan(ind)
3320	-nan(ind)	-nan(ind)
3330	-nan(ind)	-nan(ind)
3340	-nan(ind)	-nan(ind)
3350	-nan(ind)	-nan(ind)
3360	-nan(ind)	-nan(ind)
3370	-nan(ind)	-nan(ind)
3380	-nan(ind)	-nan(ind)
3390	-nan(ind)	-nan(ind)
3400	-nan(ind)	-nan(ind)
3410	-nan(ind)	-nan(ind)
3420	-nan(ind)	-nan(ind)
3430	-nan(ind)	-nan(ind)
3440	-nan(ind)	-nan(ind)
3450	-nan(ind)	-nan(ind)
3460	-nan(ind)	-nan(ind)
3470	-nan(ind)	-nan(ind)
3480	-nan(ind)	-nan(ind)
3490	-nan(ind)	-nan(ind)
3500	-nan(ind)	-nan(ind)
3510	-nan(ind)	-nan(ind)
3520	-nan(ind)	-nan(ind)
3530	-nan(ind)	-nan(ind)
3540	-nan(ind)	-nan(ind)
3550	-nan(ind)	-nan(ind)
3560	-nan(ind)	-nan(ind)
3570	-nan(ind)	-nan(ind)
3580	-nan(ind)	-nan(ind)
3590	-nan(ind)	-nan(ind)
3600	-nan(ind)	-nan(ind)
3610	-nan(ind)	-nan(ind)
3620	-nan(ind)	-nan(ind)
3630	-nan(ind)	-nan(ind)
3640	-nan(ind)	-nan(ind)
3650	-nan(ind)	-nan(ind)
3660	-nan(ind)	-nan(ind)
3670	-nan(ind)	-nan(ind)
3680	-nan(ind)	-nan(ind)
3690	-nan(ind)	-nan(ind)
3700	-nan(ind)	-nan(ind)
3710	-nan(ind)	-nan(ind)
3720	-nan(ind)	-nan(ind)
3730	-nan(ind)	-nan(ind)
3740	-nan(ind)	-nan(ind)
3750	-nan(ind)	-nan(ind)
3760	-nan(ind)	-nan(ind)
3770	-nan(ind)	-nan(ind)
3780	-nan(ind)	-nan(ind)
3790	-nan(ind)	-nan(ind)
3800	-nan(ind)	-nan(ind)
3810	-nan(ind)	-nan(ind)
3820	-nan(ind)	-nan(ind)
3830	-nan(ind)	-nan(ind)
3840	-nan(ind)	-nan(ind)
3850	-nan(ind)	-nan(ind)
3860	-nan(ind)	-nan(ind)
3870	-nan(ind)	-nan(ind)
3880	-nan(ind)	-nan(ind)
3890	-nan(ind)	-nan(ind)
3900	-nan(ind)	-nan(ind)
3910	-nan(ind)	-nan(ind)
3920	-nan(ind)	-nan(ind)
3930	-nan(ind)	-nan(ind)
3940	-nan(ind)	-nan(ind)
3950	-nan(ind)	-nan(ind)
3960	-nan(ind)	-nan(ind)
3970	-nan(ind)	-nan(ind)
3980	-nan(ind)	-nan(ind)
3990	-nan(ind)	-nan(ind)
4000	-nan(ind)	-nan(ind)
4010	-nan(ind)	-nan(ind)
4020	-nan(ind)	-nan(ind)
4030	-nan(ind)	-nan(ind)
4040	-nan(ind)	-nan(ind)
4050	-nan(ind)	-nan(ind)
4060	-nan(ind)	-nan(ind)
4070	-nan(ind)	-nan(ind)
4080	-nan(ind)	-nan(ind)
4090	-nan(ind)	-nan(ind)
4100	-nan(ind)	-nan(ind)
4110	-nan(ind)	-nan(ind)
4120	-nan(ind)	-nan(ind)
4130	-nan(ind)	-nan(ind)
4140	-nan(ind)	-nan(ind)
4150	-nan(ind)	-nan(ind)
4160	-nan(ind)	-nan(ind)
4170	-nan(ind)	-nan(ind)
4180	-nan(ind)	-nan(ind)
4190	-nan(ind)	-nan(ind)
4200	-nan(ind)	-nan(ind)
4210	-nan(ind)	-nan(ind)
